LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1976,IDX,Index,0,Units,2015_100,2015=100,33.35443
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1977,IDX,Index,0,Units,2015_100,2015=100,35.49272
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1978,IDX,Index,0,Units,2015_100,2015=100,37.37075
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1979,IDX,Index,0,Units,2015_100,2015=100,39.12921
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1980,IDX,Index,0,Units,2015_100,2015=100,41.04945
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1981,IDX,Index,0,Units,2015_100,2015=100,43.79264
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1982,IDX,Index,0,Units,2015_100,2015=100,47.69642
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1983,IDX,Index,0,Units,2015_100,2015=100,51.30478
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1984,IDX,Index,0,Units,2015_100,2015=100,53.86509
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1985,IDX,Index,0,Units,2015_100,2015=100,56.17922
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1986,IDX,Index,0,Units,2015_100,2015=100,58.43005
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1987,IDX,Index,0,Units,2015_100,2015=100,60.53316
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1988,IDX,Index,0,Units,2015_100,2015=100,62.91763
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1989,IDX,Index,0,Units,2015_100,2015=100,66.10396
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1990,IDX,Index,0,Units,2015_100,2015=100,68.74868
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1991,IDX,Index,0,Units,2015_100,2015=100,71.13315
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1992,IDX,Index,0,Units,2015_100,2015=100,73.07449
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1993,IDX,Index,0,Units,2015_100,2015=100,74.636
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1994,IDX,Index,0,Units,2015_100,2015=100,75.86692
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1995,IDX,Index,0,Units,2015_100,2015=100,76.95716
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1996,IDX,Index,0,Units,2015_100,2015=100,77.9419
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1997,IDX,Index,0,Units,2015_100,2015=100,78.8774
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1998,IDX,Index,0,Units,2015_100,2015=100,79.73553
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,1999,IDX,Index,0,Units,2015_100,2015=100,80.55849
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2000,IDX,Index,0,Units,2015_100,2015=100,81.44475
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2001,IDX,Index,0,Units,2015_100,2015=100,82.76008
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2002,IDX,Index,0,Units,2015_100,2015=100,84.39896
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2003,IDX,Index,0,Units,2015_100,2015=100,85.67912
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2004,IDX,Index,0,Units,2015_100,2015=100,86.56538
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2005,IDX,Index,0,Units,2015_100,2015=100,87.27579
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2006,IDX,Index,0,Units,2015_100,2015=100,88.11282
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2007,IDX,Index,0,Units,2015_100,2015=100,89.47739
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2008,IDX,Index,0,Units,2015_100,2015=100,91.02483
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2009,IDX,Index,0,Units,2015_100,2015=100,92.3894
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2010,IDX,Index,0,Units,2015_100,2015=100,93.52184
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2011,IDX,Index,0,Units,2015_100,2015=100,94.56285
CAN,Canada,CP040100,CPI: 04.1 - CPI Actual rentals for housing,IXOB,Index,A,Annual,2012,IDX,Index,0,Units,2015_100,2015=100,95.88521
