Indicator,...2,Base Year,Scale,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Gross Domestic Product, Nominal, Domestic Currency",0,0,0,205986,227601,252075,287608,322782,368358,388181,421316,461986,500027,526630,574336,626894,671579,695501,701773,718436,747037,791972,831621,859834,906926,940548,1007927,1106071,1144543,1193694,1254747,1335731,1421590,1496604,1577661,1657041,1571334,1666048,1774063,1827201,1902247,1994898,1990441,2025535,2140641,2235675,2313563,2220527,2517123,2813289,2888920
"Household Consumption Expenditure, incl. NPISHs, Nominal, Domestic Currency",0,0,0,110518,123126,137528,153557,172238,194258,208186,228440,248271,270616,292148,315856,341459,368416,388379,401980,414555,430668,448151,464265,485155,515810,536891,566932,603187,630572,668603,698585,730886,772000,814421,863424,902446,904663,949619,991750,1023606,1064515,1113079,1150654,1184619,1241063,1294162,1336188,1261787,1364729,1513249,1595418
"Government Consumption Expenditure, Nominal, Domestic Currency",0,0,0,45312,51211,55410,61187,69108,78836,89085,95501,101800,110278,116348,123514,132409,143508,157310,168543,175619,178438,179603,180117,178506,180049,186571,194737,211329,223291,236096,249646,259364,271178,288072,303708,326759,345137,357791,375141,384770,393848,404297,415561,426335,443184,462369,478063,504084,539730,582117,613326
"Gross Fixed Capital Formation, Nominal, Domestic Currency",0,0,0,49001,52985.19921875,57838,67030.201171875,77023.203125,92162,87607,88575,93135,103538,110785,125550,141858,154204,150956,142205,139271,139372,153597,152580,161707,184101,193327,203502,216781,230644,238438,251104,278827,310435,342494,368210,388891,350517,390875,417091,447559,460101,486542,474732,461262,485847,506963,522402,514812,608580,655217,660698
"Change in Inventories, Nominal, Domestic Currency",0,0,0,2330.0999908447297,1859.0999755859398,953.999984741211,4798,-680.999938964839,1018,-10266,-3379,3699,4136,3390,1825,5500,4356,-2785,-6473,-7241,-1357,965,8591,1040,8324,4612,4978,11228,-5498,-2812,5700,6789,11296,10636,8975,10000,-5460,346,11371,6822,13705,9603,-577,-228,18284,15677,10699,-11314,3444,58343,29833
"Exports of Goods and Services, Nominal, Domestic Currency",0,0,0,44313,51263,61385,75219,88373,97190,97793,105013,129063,137742,142125,149347,163324,168206,174392,170905,188224,217706,259621,300199,318985,345826,376490,421926,488982,481162,478175,462573,498596,523945,529824,540026,569939,448079,485942,544254,554612,576989,633112,633955,638095,673326,722690,748500,654470,785754,952159,968840
"Imports of Goods and Services, Nominal, Domestic Currency",0,0,0,46152,52063,60841,74022,82921,94734,83161,91779,113372,126482,137332,142797,158685,168031,173320,174532,190665,217449,250342,274133,285135,328329,357894,385567,426455,415515,425530,413740,438981,467732,488627,505701,540669,470749,517153,564513,589137,606801,651176,683019,685868,720254,766265,782419,703532,785539,948468,980119
"Statistical Discrepancy in GDP, Nominal, Domestic Currency",0,0,0,664.100006103516,-780.100006103516,-199.10000610351602,-160.999984741211,-357.999984741211,-372,-1063,-1055,-610,199,-834,1041,1029,920,569,-855,-1327,-341,377,2,-424,1145,551,1419,1019,-113,724,879,250,468,-216,-981,-325,-853,-1372,-1031,-1031,-110,-559,-865,1320,-809,79,130,220,425,672,924
"National Accounts, Constant Prices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gross Domestic Product, Real, Domestic Currency",0,0,0,785915.59375,813696.390625,844095.796875,875540.09375,894602.390625,925153.6875,895861.890625,918816.1875,973013.09375,1019111.296875,1040731.59375,1083110.3125,1130884.625,1157317.125,1159665.9375,1135416.5,1145527.125,1175971.8125,1228820.625,1261781.625,1283092.625,1338011.125,1390098.3125,1461563.3125,1536666.3125,1565480.3125,1612433.125,1641559.8125,1692322.8125,1746654.125,1792729.8125,1829479.25,1847689.9375,1793828.25,1849271.8125,1907287.125,1940772.625,1985911.3125,2042975.9375,2056254.5,2077609.8125,2140641.125,2199358.125,2241331.3125,2128407.8125,2240935.9375,2326536.75,2351337.3125
"Household Consumption Expenditure, incl. NPISHs, Real, Domestic Currency",0,0,0,0,0,0,0,0,465676.59375,453733.390625,465055.890625,482915.390625,506573.390625,523900.890625,544207.296875,566653.796875,585978.296875,594011.890625,587400.09375,596459.09375,607540.59375,625109.59375,639138.59375,658114.296875,690288.890625,709184.796875,737097.09375,767054.59375,785495.09375,816905.296875,839322.59375,865014.390625,898988.890625,936724.09375,978062.296875,1007315.390625,1008171.296875,1044322.09375,1068106.625,1088360.125,1116960.4375,1145756.8125,1172348.625,1197018,1241063.125,1273848.625,1294025.3125,1213052.625,1275096.3125,1339906.4375,1362903.125
