LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Unit.Code,Unit,PowerCode.Code,PowerCode,Value,Flag.Codes,Flags
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1976,PC,Percentage,0,Units,11.61667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1977,PC,Percentage,0,Units,12.975,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1978,PC,Percentage,0,Units,13.29167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1979,PC,Percentage,0,Units,12.4,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1980,PC,Percentage,0,Units,12.15833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1981,PC,Percentage,0,Units,11.74167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1982,PC,Percentage,0,Units,15.475,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1983,PC,Percentage,0,Units,16.40833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1984,PC,Percentage,0,Units,15.43333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1985,PC,Percentage,0,Units,14.025,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1986,PC,Percentage,0,Units,13.2,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1987,PC,Percentage,0,Units,11.95,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1988,PC,Percentage,0,Units,10.475,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1989,PC,Percentage,0,Units,9.55,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1990,PC,Percentage,0,Units,11.03333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1991,PC,Percentage,0,Units,12.86667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1992,PC,Percentage,0,Units,14.45833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1993,PC,Percentage,0,Units,14.35833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1994,PC,Percentage,0,Units,13.68333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1995,PC,Percentage,0,Units,13.15833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1996,PC,Percentage,0,Units,13.74167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1997,PC,Percentage,0,Units,15.20833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1998,PC,Percentage,0,Units,13.61667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,1999,PC,Percentage,0,Units,12.63333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2000,PC,Percentage,0,Units,11.35,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2001,PC,Percentage,0,Units,11.06667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2002,PC,Percentage,0,Units,11.675,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2003,PC,Percentage,0,Units,11.75833,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2004,PC,Percentage,0,Units,11.79167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2005,PC,Percentage,0,Units,10.575,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2006,PC,Percentage,0,Units,10.3,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2007,PC,Percentage,0,Units,9.833333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2008,PC,Percentage,0,Units,9.833333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2009,PC,Percentage,0,Units,12,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2010,PC,Percentage,0,Units,12.125,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2011,PC,Percentage,0,Units,12,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2012,PC,Percentage,0,Units,12.225,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2013,PC,Percentage,0,Units,11.54167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2014,PC,Percentage,0,Units,11.44167,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2015,PC,Percentage,0,Units,10.71667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2016,PC,Percentage,0,Units,10.68333,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2017,PC,Percentage,0,Units,9.55,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2018,PC,Percentage,0,Units,9.35,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2019,PC,Percentage,0,Units,9.291667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2020,PC,Percentage,0,Units,19.56667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2021,PC,Percentage,0,Units,12.66667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2022,PC,Percentage,0,Units,8.916667,,
CAN,Canada,LRUN24FE,"Unemployment rate, Aged 15-24, Females",STSA,"Level, rate or quantity series, s.a.",A,Annual,2023,PC,Percentage,0,Units,9.9,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1976,PC,Percentage,0,Units,13.09167,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1977,PC,Percentage,0,Units,14.58333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1978,PC,Percentage,0,Units,14.75833,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1979,PC,Percentage,0,Units,13.06667,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1980,PC,Percentage,0,Units,13.43333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1981,PC,Percentage,0,Units,13.83333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1982,PC,Percentage,0,Units,20.68333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1983,PC,Percentage,0,Units,21.9,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1984,PC,Percentage,0,Units,19.225,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1985,PC,Percentage,0,Units,17.45833,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1986,PC,Percentage,0,Units,16.1,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1987,PC,Percentage,0,Units,14.46667,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1988,PC,Percentage,0,Units,12.48333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1989,PC,Percentage,0,Units,12.25833,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1990,PC,Percentage,0,Units,13.625,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1991,PC,Percentage,0,Units,18.55833,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1992,PC,Percentage,0,Units,19.73333,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1993,PC,Percentage,0,Units,19.7,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1994,PC,Percentage,0,Units,17.975,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1995,PC,Percentage,0,Units,16.35,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1996,PC,Percentage,0,Units,16.95,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1997,PC,Percentage,0,Units,17.19167,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1998,PC,Percentage,0,Units,16.6,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,1999,PC,Percentage,0,Units,15.36667,,
CAN,Canada,LRUN24MA,"Unemployment rate, Aged 15-24, Males",STSA,"Level, rate or quantity series, s.a.",A,Annual,2000,PC,Percentage,0,Units,13.89167,,
